Iteration     Total nfev        Cost      Cost reduction    Step norm     Optimality
       0              1         7.1784e+03                                    3.86e+05
       1              3         5.2737e+03      1.90e+03       2.89e-02       4.52e+05
       2              4         3.9538e+03      1.32e+03       2.74e-02       4.13e+05
       3              5         3.3612e+03      5.93e+02       2.90e-02       5.37e+05
       4              6         3.1400e+03      2.21e+02       2.92e-02       6.38e+05
       5              7         2.6353e+03      5.05e+02       7.21e-03       3.64e+05
       6              8         2.4835e+03      1.52e+02       1.81e-02       1.64e+05
       7              9         2.3016e+03      1.82e+02       5.03e-03       9.00e+04
       8             10         2.1567e+03      1.45e+02       5.33e-03       1.12e+05
       9             11         1.9764e+03      1.80e+02       6.45e-03       1.66e+05
      10             12         1.8959e+03      8.05e+01       5.58e-03       1.39e+05
      11             13         1.8299e+03      6.59e+01       3.93e-03       1.49e+05
      12             14         1.7649e+03      6.51e+01       5.40e-03       9.32e+04
      13             15         1.7094e+03      5.55e+01       3.36e-03       9.48e+04
      14             16         1.6684e+03      4.10e+01       3.40e-03       1.24e+05
      15             17         1.6344e+03      3.39e+01       2.76e-03       8.29e+04
      16             18         1.6052e+03      2.92e+01       2.29e-03       1.01e+05
      17             19         1.5800e+03      2.52e+01       2.23e-03       9.87e+04
      18             20         1.5577e+03      2.23e+01       1.90e-03       1.03e+05
      19             21         1.5372e+03      2.05e+01       2.07e-03       1.09e+05
      20             22         1.5189e+03      1.83e+01       1.47e-03       1.05e+05
      21             23         1.5028e+03      1.61e+01       1.60e-03       9.91e+04
      22             24         1.4885e+03      1.43e+01       1.26e-03       9.53e+04
      23             25         1.4759e+03      1.26e+01       1.29e-03       8.69e+04
      24             26         1.4644e+03      1.15e+01       1.02e-03       9.09e+04
      25             27         1.4540e+03      1.04e+01       1.05e-03       8.21e+04
      26             28         1.4444e+03      9.65e+00       8.83e-04       7.97e+04
      27             29         1.4355e+03      8.86e+00       8.94e-04       7.57e+04
      28             30         1.4270e+03      8.50e+00       8.22e-04       7.18e+04
      29             31         1.4191e+03      7.89e+00       8.47e-04       7.21e+04
      30             32         1.4113e+03      7.86e+00       8.51e-04       7.04e+04
      31             33         1.4040e+03      7.21e+00       7.37e-04       7.72e+04
      32             34         1.3970e+03      7.09e+00       7.68e-04       5.86e+04
      33             35         1.3899e+03      7.02e+00       8.98e-04       6.17e+04
      34             36         1.3836e+03      6.29e+00       6.97e-04       5.99e+04
      35             37         1.3779e+03      5.71e+00       6.54e-04       5.83e+04
      36             38         1.3726e+03      5.34e+00       5.88e-04       5.81e+04
      37             39         1.3676e+03      5.01e+00       5.96e-04       5.92e+04
      38             40         1.3628e+03      4.76e+00       5.33e-04       5.70e+04
      39             41         1.3580e+03      4.84e+00       6.36e-04       5.65e+04
      40             42         1.3534e+03      4.62e+00       5.47e-04       5.41e+04
      41             43         1.3490e+03      4.42e+00       5.55e-04       5.07e+04
      42             44         1.3446e+03      4.38e+00       6.19e-04       5.74e+04
      43             45         1.3404e+03      4.17e+00       6.13e-04       4.72e+04
      44             46         1.3364e+03      3.98e+00       5.70e-04       5.57e+04
      45             47         1.3325e+03      3.93e+00       5.48e-04       4.50e+04
      46             48         1.3286e+03      3.89e+00       5.73e-04       4.54e+04
      47             49         1.3249e+03      3.66e+00       5.88e-04       5.01e+04
      48             50         1.3214e+03      3.50e+00       4.32e-04       4.98e+04
      49             51         1.3181e+03      3.34e+00       4.96e-04       4.21e+04
      50             52         1.3150e+03      3.08e+00       4.73e-04       4.88e+04
      51             53         1.3120e+03      2.99e+00       4.66e-04       4.40e+04
      52             54         1.3091e+03      2.96e+00       4.67e-04       4.39e+04
      53             55         1.3063e+03      2.81e+00       4.69e-04       3.72e+04
      54             56         1.3036e+03      2.67e+00       4.30e-04       4.75e+04
      55             57         1.3007e+03      2.94e+00       5.24e-04       3.69e+04
      56             58         1.2980e+03      2.68e+00       4.75e-04       4.61e+04
      57             59         1.2955e+03      2.50e+00       4.52e-04       4.05e+04
      58             60         1.2931e+03      2.38e+00       4.05e-04       4.27e+04
      59             61         1.2906e+03      2.54e+00       4.41e-04       3.76e+04
      60             62         1.2882e+03      2.35e+00       3.73e-04       3.48e+04
      61             63         1.2861e+03      2.14e+00       4.09e-04       3.54e+04
      62             64         1.2840e+03      2.07e+00       3.48e-04       3.69e+04
      63             65         1.2820e+03      1.97e+00       3.68e-04       3.44e+04
      64             66         1.2799e+03      2.16e+00       4.08e-04       3.42e+04
      65             67         1.2778e+03      2.02e+00       3.88e-04       3.37e+04
      66             68         1.2760e+03      1.84e+00       3.44e-04       3.67e+04
      67             69         1.2741e+03      1.94e+00       3.49e-04       3.36e+04
      68             70         1.2722e+03      1.91e+00       3.36e-04       3.56e+04
      69             71         1.2704e+03      1.73e+00       3.27e-04       3.51e+04
      70             72         1.2688e+03      1.62e+00       2.88e-04       3.46e+04
      71             73         1.2673e+03      1.55e+00       3.01e-04       3.17e+04
      72             74         1.2657e+03      1.54e+00       3.00e-04       3.45e+04
      73             75         1.2643e+03      1.48e+00       2.90e-04       2.92e+04
      74             76         1.2628e+03      1.47e+00       3.02e-04       3.13e+04
      75             77         1.2614e+03      1.42e+00       2.94e-04       2.79e+04
      76             78         1.2599e+03      1.42e+00       3.38e-04       3.59e+04
      77             79         1.2586e+03      1.37e+00       2.83e-04       2.76e+04
      78             80         1.2573e+03      1.27e+00       2.80e-04       3.35e+04
